"Classifier","Dataset","Accuracy","Macro_Recall","Macro_Precision","Macro_F1"
"kNN","Original",0.968333333333333,0.968254190484191,0.968717299848378,0.968321897538345
"Logistic Regression","Original",0.967666666666667,0.96758749981666,0.968049949815277,0.967654990118099
"kNN","PCA",0.968333333333333,0.968254190484191,0.968717299848378,0.968321897538345
"Logistic Regression","PCA",0.967666666666667,0.96758749981666,0.968049949815277,0.967654990118099
"kNN","KPCA",0.967666666666667,0.96759550010467,0.967981338609577,0.967656571923392
"Logistic Regression","KPCA",0.975666666666667,0.975631789411086,0.97575760539611,0.975663354178763
"kNN","FS",0.969333333333333,0.969268226989505,0.969602178338572,0.969324812447902
"Logistic Regression","FS",0.957666666666667,0.957583139659694,0.958075639599555,0.957650286738682
