"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"instrumentalness",0.37638071387216,-0.059129698079633,-0.138641473724852,0.246058168853124,-0.724442368465877,-0.496864711272004,-0.0191299714920508,0.0549355439491993
"danceability",-0.384062442376963,-0.195347263275351,-0.173266642064636,0.105693421100235,0.389151959407665,-0.751116805352002,-0.134951517858412,-0.198281223530455
"energy",-0.419534818571363,-0.00465004657515911,0.27552469669605,0.0292752220218268,-0.409609822536955,0.133078437369879,0.047026778919905,-0.747994933680783
"acousticness",0.416428216541618,0.0705072980221791,-0.262278571137049,0.142561918119906,0.172840266188407,0.177895328323412,-0.696083875193968,-0.431797458604651
"liveness",-0.114092516234671,0.967315932434501,0.00661731971029926,0.148374756994021,0.0270182026430845,-0.167153405213585,0.00784989604082969,0.0221824738931485
"loudness",-0.417017537683748,-0.0366618440737658,0.286420773109873,-0.0437337890185994,-0.252072615522975,0.0295962290725822,-0.696446920955751,0.437433337666276
"speechiness",-0.28271797453112,0.0741752861995633,-0.765502945952263,-0.506113716267889,-0.247814821860267,0.102999573878879,-0.0177831046517679,0.00924027998632943
"valence",-0.307508524979768,-0.103942515329388,-0.371453761178031,0.791848806619592,-0.0201809370842163,0.316492140833295,0.0962376194122543,0.140697571097062
